condition,list,image_selection,list_LSQ_variant,blockID,block,item,instance,category,phase,labelling,mean,sd,VOT,VOT_continuous
Shift0,A,backward,A,A,2,dilltill,1,/d/,exposure,unlabeled,5,8.94427190999916,15,-3.9916414961449185
Shift0,A,backward,A,A,2,dilltill,1,/t/,exposure,unlabeled,50,16.431676725154983,65,36.91232812361658
Shift0,A,backward,A,A,2,dilltill,2,/d/,exposure,labeled,5,8.94427190999916,-5,41.10934587209972
Shift0,A,backward,A,A,2,dilltill,2,/t/,exposure,labeled,50,16.431676725154983,75,69.07727549211941
Shift0,A,backward,A,A,2,dilltill,3,/d/,exposure,unlabeled,5,8.94427190999916,5,6.813558138753878
Shift0,A,backward,A,A,2,dilltill,3,/t/,exposure,labeled,50,16.431676725154983,45,44.7404472382856
Shift0,A,backward,A,A,2,dilltill,4,/d/,exposure,labeled,5,8.94427190999916,5,12.10594112264301
Shift0,A,backward,A,A,2,dilltill,4,/t/,exposure,unlabeled,50,16.431676725154983,60,70.43536763905219
Shift0,A,backward,A,A,2,dilltill,5,/d/,exposure,labeled,5,8.94427190999916,-5,-0.23236688578178555
Shift0,A,backward,A,A,2,dilltill,5,/t/,exposure,labeled,50,16.431676725154983,65,15.611739979691137
Shift0,A,backward,A,A,2,dilltill,6,/d/,exposure,unlabeled,5,8.94427190999916,-5,8.134478689793667
Shift0,A,backward,A,A,2,dilltill,6,/t/,exposure,labeled,50,16.431676725154983,55,57.47640032986096
Shift0,A,backward,A,A,2,dilltill,7,/d/,exposure,unlabeled,5,8.94427190999916,-5,4.619449770485754
Shift0,A,backward,A,A,2,dilltill,7,/t/,exposure,unlabeled,50,16.431676725154983,50,71.84355397314312
Shift0,A,backward,A,A,2,dilltill,8,/d/,exposure,labeled,5,8.94427190999916,15,3.178186923084908
Shift0,A,backward,A,A,2,dilltill,8,/t/,exposure,unlabeled,50,16.431676725154983,60,49.2597940786704
Shift0,A,backward,A,A,2,dintin,1,/d/,exposure,unlabeled,5,8.94427190999916,10,8.750601076708229
Shift0,A,backward,A,A,2,dintin,1,/t/,exposure,unlabeled,50,16.431676725154983,45,38.81387146504745
Shift0,A,backward,A,A,2,dintin,2,/d/,exposure,labeled,5,8.94427190999916,5,1.6777521388232715
Shift0,A,backward,A,A,2,dintin,2,/t/,exposure,unlabeled,50,16.431676725154983,50,49.89773789883382
Shift0,A,backward,A,A,2,dintin,3,/d/,exposure,unlabeled,5,8.94427190999916,0,2.9577250755648787
Shift0,A,backward,A,A,2,dintin,3,/t/,exposure,labeled,50,16.431676725154983,75,55.10662382891776
Shift0,A,backward,A,A,2,dintin,4,/d/,exposure,unlabeled,5,8.94427190999916,5,8.922697789613698
Shift0,A,backward,A,A,2,dintin,4,/t/,exposure,unlabeled,50,16.431676725154983,40,56.71940657661807
Shift0,A,backward,A,A,2,dintin,5,/d/,exposure,labeled,5,8.94427190999916,5,21.10571394973034
Shift0,A,backward,A,A,2,dintin,5,/t/,exposure,labeled,50,16.431676725154983,60,51.992125575666265
Shift0,A,backward,A,A,2,dintin,6,/d/,exposure,labeled,5,8.94427190999916,0,3.568128416502333
Shift0,A,backward,A,A,2,dintin,6,/t/,exposure,unlabeled,50,16.431676725154983,45,39.96780346428473
Shift0,A,backward,A,A,2,dintin,7,/d/,exposure,labeled,5,8.94427190999916,0,0.8018912925376007
Shift0,A,backward,A,A,2,dintin,7,/t/,exposure,labeled,50,16.431676725154983,70,40.774954468456556
Shift0,A,backward,A,A,2,dintin,8,/d/,exposure,unlabeled,5,8.94427190999916,5,23.954236410914163
Shift0,A,backward,A,A,2,dintin,8,/t/,exposure,labeled,50,16.431676725154983,40,43.26988160828766
Shift0,A,backward,A,A,2,diptip,1,/d/,exposure,labeled,5,8.94427190999916,20,9.007451744586518
Shift0,A,backward,A,A,2,diptip,1,/t/,exposure,unlabeled,50,16.431676725154983,20,37.35538877168388
Shift0,A,backward,A,A,2,diptip,2,/d/,exposure,unlabeled,5,8.94427190999916,0,-2.1132022566420394
Shift0,A,backward,A,A,2,diptip,2,/t/,exposure,labeled,50,16.431676725154983,50,42.07483588604697
Shift0,A,backward,A,A,2,diptip,3,/d/,exposure,unlabeled,5,8.94427190999916,10,11.23934787066261
