Item.MinimalPair,Item.Filename,Item.VOT.measured,Item.VOT,Item.f0,Item.f0.measured,Item.VowelDuration.measured,Item.VowelDuration
dilltill,dilltill_VOT-20_F0245.wav,-20,-20,245,245.35906337224665,105.1840147216252,125.0700619230738
dilltill,dilltill_VOT-15_F0246.wav,-15,-15,246,245.26198392477863,105.53321754233558,126.74975780609543
dilltill,dilltill_VOT-10_F0246.wav,-10,-10,246,245.34181328648657,110.33641494484225,126.2027258455829
dilltill,dilltill_VOT-5_F0246.wav,-5,-5,246,245.31381166755705,106.28987710851943,122.31903017617364
dilltill,dilltill_VOT0_F0246.wav,0,0,246,245.5043800708393,107.29336423214164,128.6186743414408
dilltill,dilltill_VOT5_F0246.wav,5,5,246,245.72515742972033,108.3948160682855,128.66984223067846
dilltill,dilltill_VOT10_F0247.wav,10,10,247,246.40763385997585,105.82731283727752,127.55163723934527
dilltill,dilltill_VOT15_F0247.wav,15,15,247,246.46477027008655,110.202949869052,123.14242814242782
dilltill,dilltill_VOT20_F0247.wav,20,20,247,246.20935174708575,99.65916169552892,123.20247496362047
dilltill,dilltill_VOT25_F0247.wav,25,25,247,246.71850120027665,104.42468788281722,118.43372611906489
dilltill,dilltill_VOT30_F0247.wav,30,30,247,246.4336356152299,102.57888407888416,118.49231622473422
dilltill,dilltill_VOT35_F0247.wav,35,35,247,246.4158990489234,102.05690725708472,115.97507303221556
dilltill,dilltill_VOT40_F0248.wav,40,40,248,246.99513002966717,102.07982028383712,117.6782633343194
dilltill,dilltill_VOT45_F0248.wav,45,45,248,247.62607415237073,96.75554636269013,117.62353040906603
dilltill,dilltill_VOT50_F0248.wav,50,50,248,247.54635365329295,96.20957903981876,112.25416805313948
dilltill,dilltill_VOT55_F0248.wav,55,55,248,247.60983060064905,93.28398934948724,109.39713998880408
dilltill,dilltill_VOT60_F0248.wav,60,60,248,247.9759369017873,95.01805847507327,108.31624219935954
dilltill,dilltill_VOT65_F0249.wav,65,65,249,247.98841079372625,88.5336839006321,109.34057310074864
dilltill,dilltill_VOT70_F0249.wav,70,70,249,248.1538705187612,90.35206300871224,104.24515807511092
dilltill,dilltill_VOT75_F0249.wav,75,75,249,248.4311680268358,83.46943545442187,103.83320463320445
dilltill,dilltill_VOT80_F0249.wav,80,80,249,248.52600116661873,84.66249531608483,102.21738870987096
dilltill,dilltill_VOT85_F0249.wav,85,85,249,248.72433663140785,80.81313693902992,105.17205712694457
dilltill,dilltill_VOT90_F0250.wav,90,90,250,248.94280644328953,82.09881664883144,101.15249433106575
dilltill,dilltill_VOT95_F0250.wav,95,95,250,249.2497467687945,82.60578543526887,97.89902489636226
dilltill,dilltill_VOT100_F0250.wav,100,100,250,249.4596849679331,74.13027406825279,94.4813135130591
dilltill,dilltill_VOT105_F0250.wav,105,105,250,249.3031815850992,74.63172445488553,95.21858880004253
dilltill,dilltill_VOT110_F0250.wav,110,110,250,249.22571649010715,72.62628039721619,92.18525505440311
dilltill,dilltill_VOT115_F0250.wav,115,115,250,249.61376049867647,70.53967617120804,94.18586800773454
dilltill,dilltill_VOT120_F0251.wav,120,120,251,249.97992157230755,69.46382948783736,89.62654535498338
dilltill,dilltill_VOT125_F0251.wav,125,125,251,250.30514960375513,65.04548157808898,92.5178708410268
dintin,dintin_VOT-20_F0245.wav,-20,-20,245,244.85486737836,153.30332242366018,125.0700619230738
dintin,dintin_VOT-15_F0245.wav,-15,-15,245,244.26798001382065,147.67920197214178,126.74975780609543
dintin,dintin_VOT-10_F0246.wav,-10,-10,246,244.80171709496463,150.20731129193476,126.2027258455829
dintin,dintin_VOT-5_F0246.wav,-5,-5,246,245.1320962161682,147.4683872274025,122.31903017617364
dintin,dintin_VOT0_F0246.wav,0,0,246,244.889693896124,150.20731129193533,128.6186743414408
dintin,dintin_VOT5_F0246.wav,5,5,246,245.35469799567343,149.97944066515512,128.66984223067846
dintin,dintin_VOT10_F0247.wav,10,10,247,245.41452270141903,149.89237862649318,127.55163723934527
dintin,dintin_VOT15_F0247.wav,15,15,247,245.94166654088576,149.79281495674888,123.14242814242782
dintin,dintin_VOT20_F0247.wav,20,20,247,246.19000064564216,149.93787914026058,123.20247496362047
dintin,dintin_VOT25_F0247.wav,25,25,247,246.45721056055964,149.98866125506183,118.43372611906489
dintin,dintin_VOT30_F0247.wav,30,30,247,246.34143744646272,146.05940465110655,118.49231622473422
dintin,dintin_VOT35_F0247.wav,35,35,247,246.4624117192631,142.1494823634273,115.97507303221556
dintin,dintin_VOT40_F0248.wav,40,40,248,246.48835833078093,141.67997865436098,117.6782633343194
dintin,dintin_VOT45_F0248.wav,45,45,248,247.07112716941853,141.756852269614,117.62353040906603
dintin,dintin_VOT50_F0248.wav,50,50,248,247.11728319990763,141.71169879503154,112.25416805313948
dintin,dintin_VOT55_F0248.wav,55,55,248,247.4449005963206,139.77175182765222,109.39713998880408
dintin,dintin_VOT60_F0248.wav,60,60,248,247.8843652971728,134.9227439227434,108.31624219935954
dintin,dintin_VOT65_F0249.wav,65,65,249,248.21121746466432,133.03760639414364,109.34057310074864
dintin,dintin_VOT70_F0249.wav,70,70,249,248.13465763178465,133.1029319746122,104.24515807511092
dintin,dintin_VOT75_F0249.wav,75,75,249,248.90227046511004,131.61704961705033,103.83320463320445
dintin,dintin_VOT80_F0249.wav,80,80,249,248.67334722227443,131.2143675069528,102.21738870987096
dintin,dintin_VOT85_F0249.wav,85,85,249,248.6948366248367,129.25156068977373,105.17205712694457
