workerid,proliferate.condition,audio_stall,error
124,Shift40_bwd_ExpBlockC,no,
128,Shift0_bwd_ExpBlockC,some,
118,Shift0_fwd_ExpBlockC,no,
135,Shift40_fwd_ExpBlockC,no,
141,Shift40_fwd_ExpBlockC,no,
139,Shift40_bwd_ExpBlockB,no,
131,Shift40_bwd_ExpBlockB,no,
134,Shift10_fwd_ExpBlockA,no,
126,Shift10_fwd_ExpBlockA,no,
147,Shift0_bwd_ExpBlockB,no,
142,Shift0_bwd_ExpBlockB,no,
140,Shift10_bwd_ExpBlockC,no,
148,Shift0_bwd_ExpBlockA,no,
146,Shift0_fwd_ExpBlockB,no,
144,Shift40_fwd_ExpBlockB,no,
138,Shift40_fwd_ExpBlockB,no,
125,Shift0_fwd_ExpBlockA,no,
119,Shift0_fwd_ExpBlockA,no,
