workerid,proliferate.condition,participant_id,error
124,Shift40_bwd_ExpBlockC,316b2cba-da27-4572-a828-857714baf3df,
128,Shift0_bwd_ExpBlockC,e724e55a-e6e2-47ef-a871-4233dbffc43a,
118,Shift0_fwd_ExpBlockC,c7902fa9-6e06-46b4-8687-7a356f5c2e9f,
135,Shift40_fwd_ExpBlockC,c34271ab-a542-4c9d-b617-093120945935,
141,Shift40_fwd_ExpBlockC,ff716b0f-1e5b-4ff6-ab1d-7914d6be96cf,
139,Shift40_bwd_ExpBlockB,21cc3c95-2d8e-4ddc-b9d1-39cae68ec6c2,
131,Shift40_bwd_ExpBlockB,5f586e1a-e491-44ae-b838-5ab8c9483279,
134,Shift10_fwd_ExpBlockA,35859011-c3b9-4386-bce1-34b18533497e,
126,Shift10_fwd_ExpBlockA,6b76a70e-1eb6-40a2-9d58-d2e6fafb202f,
147,Shift0_bwd_ExpBlockB,b5cfbe6d-321d-4f38-ac00-d50a02ebea6d,
142,Shift0_bwd_ExpBlockB,e90281db-1a28-4178-90fd-a725ff1579ee,
140,Shift10_bwd_ExpBlockC,a84fef78-fd6f-488d-a7e7-04539eba5c57,
148,Shift0_bwd_ExpBlockA,f56a0c82-17b3-48d6-a3f7-35a50e31d8a2,
146,Shift0_fwd_ExpBlockB,1fcdea19-530d-45ca-a470-03383432200d,
144,Shift40_fwd_ExpBlockB,3e1424fc-08ad-494d-9591-09a2514ce3c9,
138,Shift40_fwd_ExpBlockB,9b12ea85-633c-4697-9fc8-3ce5e4045168,
125,Shift0_fwd_ExpBlockA,07f9e07a-8757-493e-bbab-e6b42b1d6cc2,
119,Shift0_fwd_ExpBlockA,641af7b0-83db-417a-b2a3-769c051b0507,
