workerid,proliferate.condition,pronun,error
124,Shift40_bwd_ExpBlockC,"normal,nonaccented,serious",
128,Shift0_bwd_ExpBlockC,"fast,accented,robotic",
118,Shift0_fwd_ExpBlockC,"normal,relaxed",
135,Shift40_fwd_ExpBlockC,"slow,nonaccented,serious",
141,Shift40_fwd_ExpBlockC,"normal,nonaccented,serious",
139,Shift40_bwd_ExpBlockB,"normal,nonaccented",
131,Shift40_bwd_ExpBlockB,"normal,nonaccented,robotic,relaxed",
134,Shift10_fwd_ExpBlockA,robotic,
126,Shift10_fwd_ExpBlockA,"normal,nonaccented,robotic",
147,Shift0_bwd_ExpBlockB,"normal,nonaccented,serious",
142,Shift0_bwd_ExpBlockB,"normal,low,nonaccented,relaxed",
140,Shift10_bwd_ExpBlockC,nonaccented,
148,Shift0_bwd_ExpBlockA,"normal,nonaccented,relaxed",
146,Shift0_fwd_ExpBlockB,"normal,accented,relaxed",
144,Shift40_fwd_ExpBlockB,"normal,nonaccented,accented",
138,Shift40_fwd_ExpBlockB,normal,
125,Shift0_fwd_ExpBlockA,"normal,nonaccented,relaxed",
119,Shift0_fwd_ExpBlockA,"normal,nonaccented,robotic",
