workerid,proliferate.condition,randomID,error
124,Shift40_bwd_ExpBlockC,CebhFOIpFtg85WIV,
128,Shift0_bwd_ExpBlockC,j5RupuKhJZU8ZWb5,
118,Shift0_fwd_ExpBlockC,u0bnyH1782NeMHBI,
135,Shift40_fwd_ExpBlockC,eBUTvM7lfJDdmKIy,
141,Shift40_fwd_ExpBlockC,k8eVhJDWOTP91bJQ,
139,Shift40_bwd_ExpBlockB,iMea8bH7sv5KVBNT,
131,Shift40_bwd_ExpBlockB,6glu18X6xFSqIMhW,
134,Shift10_fwd_ExpBlockA,XuvnkxzAB275gFW5,
126,Shift10_fwd_ExpBlockA,RMAaD89lICRHxkr8,
147,Shift0_bwd_ExpBlockB,IWEA3YofrRQcP7c6,
142,Shift0_bwd_ExpBlockB,1g8BTCHWrf7VMgGB,
140,Shift10_bwd_ExpBlockC,tif2QhJLY4ijq5JP,
148,Shift0_bwd_ExpBlockA,lpbhtmevtfHATcNE,
146,Shift0_fwd_ExpBlockB,IooTPIcUeSW73apq,
144,Shift40_fwd_ExpBlockB,0Hn5BVWOrGb3Exa6,
138,Shift40_fwd_ExpBlockB,YuGCtDQhyAbQ93xZ,
125,Shift0_fwd_ExpBlockA,Z2XlG1goSgNK2o7t,
119,Shift0_fwd_ExpBlockA,DfhzZwyj24m40Ft3,
