workerid,proliferate.condition,rsrb.race,error
124,Shift40_bwd_ExpBlockC,white;,
128,Shift0_bwd_ExpBlockC,black;,
118,Shift0_fwd_ExpBlockC,white;,
135,Shift40_fwd_ExpBlockC,white;,
141,Shift40_fwd_ExpBlockC,white;,
139,Shift40_bwd_ExpBlockB,white;,
131,Shift40_bwd_ExpBlockB,amerind;,
134,Shift10_fwd_ExpBlockA,white;,
126,Shift10_fwd_ExpBlockA,white;,
147,Shift0_bwd_ExpBlockB,white;,
142,Shift0_bwd_ExpBlockB,white;,
140,Shift10_bwd_ExpBlockC,black;,
148,Shift0_bwd_ExpBlockA,white;,
146,Shift0_fwd_ExpBlockB,white;,
144,Shift40_fwd_ExpBlockB,white;,
138,Shift40_fwd_ExpBlockB,white;,
125,Shift0_fwd_ExpBlockA,white;,
119,Shift0_fwd_ExpBlockA,white;,
