workerid,proliferate.condition,audio_type,error
273,Shift40_bwd_ExpBlockB,over-ear,
363,Shift40_bwd_ExpBlockB,over-ear,
303,Shift40_bwd_ExpBlockB,over-ear,
374,Shift40_bwd_ExpBlockB,over-ear,
206,Shift40_bwd_ExpBlockB,over-ear,
297,Shift40_fwd_ExpBlockB,over-ear,
241,Shift40_fwd_ExpBlockB,in-ear,
185,Shift40_fwd_ExpBlockB,in-ear,
389,Shift40_fwd_ExpBlockB,over-ear,
196,Shift40_fwd_ExpBlockB,over-ear,
279,Shift40_fwd_ExpBlockB,over-ear,
261,Shift10_bwd_ExpBlockB,in-ear,
271,Shift10_bwd_ExpBlockB,in-ear,
289,Shift10_bwd_ExpBlockB,in-ear,
331,Shift10_bwd_ExpBlockB,over-ear,
361,Shift10_bwd_ExpBlockB,in-ear,
195,Shift10_bwd_ExpBlockB,over-ear,
315,Shift10_bwd_ExpBlockB,over-ear,
165,Shift10_fwd_ExpBlockA,over-ear,
254,Shift10_fwd_ExpBlockA,in-ear,
330,Shift10_fwd_ExpBlockA,over-ear,
306,Shift10_fwd_ExpBlockA,over-ear,
231,Shift10_fwd_ExpBlockA,over-ear,
319,Shift10_fwd_ExpBlockA,over-ear,
353,Shift10_fwd_ExpBlockA,in-ear,
270,Shift10_fwd_ExpBlockA,over-ear,
193,Shift40_fwd_ExpBlockA,in-ear,
340,Shift40_fwd_ExpBlockA,in-ear,
209,Shift40_fwd_ExpBlockA,over-ear,
228,Shift40_fwd_ExpBlockA,over-ear,
313,Shift40_fwd_ExpBlockA,over-ear,
204,Shift40_bwd_ExpBlockA,over-ear,
277,Shift40_bwd_ExpBlockA,over-ear,
269,Shift40_bwd_ExpBlockA,over-ear,
220,Shift40_bwd_ExpBlockA,in-ear,
321,Shift40_bwd_ExpBlockA,in-ear,
174,Shift40_bwd_ExpBlockC,over-ear,
262,Shift40_bwd_ExpBlockC,over-ear,
372,Shift40_bwd_ExpBlockC,in-ear,
359,Shift40_bwd_ExpBlockC,in-ear,
345,Shift40_bwd_ExpBlockC,in-ear,
376,Shift40_bwd_ExpBlockC,in-ear,
384,Shift0_fwd_ExpBlockC,over-ear,
176,Shift0_fwd_ExpBlockC,over-ear,
375,Shift0_fwd_ExpBlockC,in-ear,
329,Shift0_fwd_ExpBlockC,over-ear,
181,Shift0_fwd_ExpBlockC,in-ear,
388,Shift0_fwd_ExpBlockC,in-ear,
154,Shift10_bwd_ExpBlockA,over-ear,
327,Shift10_bwd_ExpBlockA,over-ear,
349,Shift10_bwd_ExpBlockA,in-ear,
326,Shift10_bwd_ExpBlockA,in-ear,
246,Shift10_bwd_ExpBlockA,in-ear,
229,Shift10_bwd_ExpBlockA,over-ear,
282,Shift10_bwd_ExpBlockA,over-ear,
286,Shift10_bwd_ExpBlockA,over-ear,
307,Shift0_fwd_ExpBlockA,in-ear,
336,Shift0_fwd_ExpBlockA,over-ear,
356,Shift0_fwd_ExpBlockA,in-ear,
256,Shift0_fwd_ExpBlockA,over-ear,
211,Shift0_fwd_ExpBlockA,in-ear,
304,Shift0_bwd_ExpBlockC,in-ear,
233,Shift0_bwd_ExpBlockC,over-ear,
260,Shift0_bwd_ExpBlockC,over-ear,
357,Shift0_bwd_ExpBlockC,in-ear,
346,Shift0_bwd_ExpBlockC,in-ear,
169,Shift0_bwd_ExpBlockC,in-ear,
167,Shift10_fwd_ExpBlockC,in-ear,
238,Shift10_fwd_ExpBlockC,over-ear,
203,Shift10_fwd_ExpBlockC,in-ear,
281,Shift10_fwd_ExpBlockC,over-ear,
180,Shift10_fwd_ExpBlockC,in-ear,
335,Shift0_bwd_ExpBlockB,in-ear,
227,Shift0_bwd_ExpBlockB,over-ear,
295,Shift0_bwd_ExpBlockB,in-ear,
348,Shift0_bwd_ExpBlockB,over-ear,
201,Shift0_bwd_ExpBlockB,over-ear,
155,Shift0_bwd_ExpBlockB,in-ear,
187,Shift0_bwd_ExpBlockA,over-ear,
251,Shift0_bwd_ExpBlockA,over-ear,
259,Shift0_bwd_ExpBlockA,over-ear,
339,Shift0_bwd_ExpBlockA,in-ear,
177,Shift0_bwd_ExpBlockA,in-ear,
354,Shift0_bwd_ExpBlockA,over-ear,
317,Shift10_bwd_ExpBlockC,in-ear,
334,Shift10_bwd_ExpBlockC,in-ear,
392,Shift10_bwd_ExpBlockC,in-ear,
164,Shift10_bwd_ExpBlockC,over-ear,
175,Shift10_bwd_ExpBlockC,over-ear,
156,Shift0_fwd_ExpBlockB,over-ear,
347,Shift0_fwd_ExpBlockB,over-ear,
245,Shift0_fwd_ExpBlockB,over-ear,
160,Shift0_fwd_ExpBlockB,over-ear,
179,Shift0_fwd_ExpBlockB,in-ear,
205,Shift40_fwd_ExpBlockC,over-ear,
395,Shift40_fwd_ExpBlockC,in-ear,
243,Shift40_fwd_ExpBlockC,over-ear,
390,Shift40_fwd_ExpBlockC,in-ear,
373,Shift40_fwd_ExpBlockC,in-ear,
296,Shift10_fwd_ExpBlockB,over-ear,
232,Shift10_fwd_ExpBlockB,in-ear,
393,Shift10_fwd_ExpBlockB,over-ear,
189,Shift10_fwd_ExpBlockB,in-ear,
338,Shift10_fwd_ExpBlockB,over-ear,
