workerid,proliferate.condition,experiment_id,error
273,Shift40_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
363,Shift40_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
303,Shift40_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
374,Shift40_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
206,Shift40_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
297,Shift40_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
241,Shift40_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
185,Shift40_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
389,Shift40_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
196,Shift40_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
279,Shift40_fwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
261,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
271,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
289,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
331,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
361,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
195,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
315,Shift10_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
165,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
254,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
330,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
306,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
231,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
319,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
353,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
270,Shift10_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
193,Shift40_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
340,Shift40_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
209,Shift40_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
228,Shift40_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
313,Shift40_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
204,Shift40_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
277,Shift40_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
269,Shift40_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
220,Shift40_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
321,Shift40_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
174,Shift40_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
262,Shift40_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
372,Shift40_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
359,Shift40_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
345,Shift40_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
376,Shift40_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
384,Shift0_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
176,Shift0_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
375,Shift0_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
329,Shift0_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
181,Shift0_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
388,Shift0_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
154,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
327,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
349,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
326,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
246,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
229,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
282,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
286,Shift10_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
307,Shift0_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
336,Shift0_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
356,Shift0_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
256,Shift0_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
211,Shift0_fwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
304,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
233,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
260,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
357,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
346,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
169,Shift0_bwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
167,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
238,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
203,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
281,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
180,Shift10_fwd_ExpBlockC,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
335,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
227,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
295,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
348,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
201,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
155,Shift0_bwd_ExpBlockB,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
187,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
251,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
259,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
339,Shift0_bwd_ExpBlockA,35ce0ed4-d54e-452a-9d2c-e494f8777ff1,
