workerid,proliferate.condition,image_selection,error
273,Shift40_bwd_ExpBlockB,backward,
363,Shift40_bwd_ExpBlockB,backward,
303,Shift40_bwd_ExpBlockB,backward,
374,Shift40_bwd_ExpBlockB,backward,
206,Shift40_bwd_ExpBlockB,backward,
297,Shift40_fwd_ExpBlockB,forward,
241,Shift40_fwd_ExpBlockB,forward,
185,Shift40_fwd_ExpBlockB,forward,
389,Shift40_fwd_ExpBlockB,forward,
196,Shift40_fwd_ExpBlockB,forward,
279,Shift40_fwd_ExpBlockB,forward,
261,Shift10_bwd_ExpBlockB,backward,
271,Shift10_bwd_ExpBlockB,backward,
289,Shift10_bwd_ExpBlockB,backward,
331,Shift10_bwd_ExpBlockB,backward,
361,Shift10_bwd_ExpBlockB,backward,
195,Shift10_bwd_ExpBlockB,backward,
315,Shift10_bwd_ExpBlockB,backward,
165,Shift10_fwd_ExpBlockA,forward,
254,Shift10_fwd_ExpBlockA,forward,
330,Shift10_fwd_ExpBlockA,forward,
306,Shift10_fwd_ExpBlockA,forward,
231,Shift10_fwd_ExpBlockA,forward,
319,Shift10_fwd_ExpBlockA,forward,
353,Shift10_fwd_ExpBlockA,forward,
270,Shift10_fwd_ExpBlockA,forward,
193,Shift40_fwd_ExpBlockA,forward,
340,Shift40_fwd_ExpBlockA,forward,
209,Shift40_fwd_ExpBlockA,forward,
228,Shift40_fwd_ExpBlockA,forward,
313,Shift40_fwd_ExpBlockA,forward,
204,Shift40_bwd_ExpBlockA,backward,
277,Shift40_bwd_ExpBlockA,backward,
269,Shift40_bwd_ExpBlockA,backward,
220,Shift40_bwd_ExpBlockA,backward,
321,Shift40_bwd_ExpBlockA,backward,
174,Shift40_bwd_ExpBlockC,backward,
262,Shift40_bwd_ExpBlockC,backward,
372,Shift40_bwd_ExpBlockC,backward,
359,Shift40_bwd_ExpBlockC,backward,
345,Shift40_bwd_ExpBlockC,backward,
376,Shift40_bwd_ExpBlockC,backward,
384,Shift0_fwd_ExpBlockC,forward,
176,Shift0_fwd_ExpBlockC,forward,
375,Shift0_fwd_ExpBlockC,forward,
329,Shift0_fwd_ExpBlockC,forward,
181,Shift0_fwd_ExpBlockC,forward,
388,Shift0_fwd_ExpBlockC,forward,
154,Shift10_bwd_ExpBlockA,backward,
327,Shift10_bwd_ExpBlockA,backward,
349,Shift10_bwd_ExpBlockA,backward,
326,Shift10_bwd_ExpBlockA,backward,
246,Shift10_bwd_ExpBlockA,backward,
229,Shift10_bwd_ExpBlockA,backward,
282,Shift10_bwd_ExpBlockA,backward,
286,Shift10_bwd_ExpBlockA,backward,
307,Shift0_fwd_ExpBlockA,forward,
336,Shift0_fwd_ExpBlockA,forward,
356,Shift0_fwd_ExpBlockA,forward,
256,Shift0_fwd_ExpBlockA,forward,
211,Shift0_fwd_ExpBlockA,forward,
304,Shift0_bwd_ExpBlockC,backward,
233,Shift0_bwd_ExpBlockC,backward,
260,Shift0_bwd_ExpBlockC,backward,
357,Shift0_bwd_ExpBlockC,backward,
346,Shift0_bwd_ExpBlockC,backward,
169,Shift0_bwd_ExpBlockC,backward,
167,Shift10_fwd_ExpBlockC,forward,
238,Shift10_fwd_ExpBlockC,forward,
203,Shift10_fwd_ExpBlockC,forward,
281,Shift10_fwd_ExpBlockC,forward,
180,Shift10_fwd_ExpBlockC,forward,
335,Shift0_bwd_ExpBlockB,backward,
227,Shift0_bwd_ExpBlockB,backward,
295,Shift0_bwd_ExpBlockB,backward,
348,Shift0_bwd_ExpBlockB,backward,
201,Shift0_bwd_ExpBlockB,backward,
155,Shift0_bwd_ExpBlockB,backward,
187,Shift0_bwd_ExpBlockA,backward,
251,Shift0_bwd_ExpBlockA,backward,
259,Shift0_bwd_ExpBlockA,backward,
339,Shift0_bwd_ExpBlockA,backward,
177,Shift0_bwd_ExpBlockA,backward,
354,Shift0_bwd_ExpBlockA,backward,
317,Shift10_bwd_ExpBlockC,backward,
334,Shift10_bwd_ExpBlockC,backward,
392,Shift10_bwd_ExpBlockC,backward,
164,Shift10_bwd_ExpBlockC,backward,
175,Shift10_bwd_ExpBlockC,backward,
156,Shift0_fwd_ExpBlockB,forward,
347,Shift0_fwd_ExpBlockB,forward,
245,Shift0_fwd_ExpBlockB,forward,
160,Shift0_fwd_ExpBlockB,forward,
179,Shift0_fwd_ExpBlockB,forward,
205,Shift40_fwd_ExpBlockC,forward,
395,Shift40_fwd_ExpBlockC,forward,
243,Shift40_fwd_ExpBlockC,forward,
390,Shift40_fwd_ExpBlockC,forward,
373,Shift40_fwd_ExpBlockC,forward,
296,Shift10_fwd_ExpBlockB,forward,
232,Shift10_fwd_ExpBlockB,forward,
393,Shift10_fwd_ExpBlockB,forward,
189,Shift10_fwd_ExpBlockB,forward,
338,Shift10_fwd_ExpBlockB,forward,
