workerid,proliferate.condition,list_exp_block_order,error
273,Shift40_bwd_ExpBlockB,B,
363,Shift40_bwd_ExpBlockB,B,
303,Shift40_bwd_ExpBlockB,B,
374,Shift40_bwd_ExpBlockB,B,
206,Shift40_bwd_ExpBlockB,B,
297,Shift40_fwd_ExpBlockB,B,
241,Shift40_fwd_ExpBlockB,B,
185,Shift40_fwd_ExpBlockB,B,
389,Shift40_fwd_ExpBlockB,B,
196,Shift40_fwd_ExpBlockB,B,
279,Shift40_fwd_ExpBlockB,B,
261,Shift10_bwd_ExpBlockB,B,
271,Shift10_bwd_ExpBlockB,B,
289,Shift10_bwd_ExpBlockB,B,
331,Shift10_bwd_ExpBlockB,B,
361,Shift10_bwd_ExpBlockB,B,
195,Shift10_bwd_ExpBlockB,B,
315,Shift10_bwd_ExpBlockB,B,
165,Shift10_fwd_ExpBlockA,A,
254,Shift10_fwd_ExpBlockA,A,
330,Shift10_fwd_ExpBlockA,A,
306,Shift10_fwd_ExpBlockA,A,
231,Shift10_fwd_ExpBlockA,A,
319,Shift10_fwd_ExpBlockA,A,
353,Shift10_fwd_ExpBlockA,A,
270,Shift10_fwd_ExpBlockA,A,
193,Shift40_fwd_ExpBlockA,A,
340,Shift40_fwd_ExpBlockA,A,
209,Shift40_fwd_ExpBlockA,A,
228,Shift40_fwd_ExpBlockA,A,
313,Shift40_fwd_ExpBlockA,A,
204,Shift40_bwd_ExpBlockA,A,
277,Shift40_bwd_ExpBlockA,A,
269,Shift40_bwd_ExpBlockA,A,
220,Shift40_bwd_ExpBlockA,A,
321,Shift40_bwd_ExpBlockA,A,
174,Shift40_bwd_ExpBlockC,C,
262,Shift40_bwd_ExpBlockC,C,
372,Shift40_bwd_ExpBlockC,C,
359,Shift40_bwd_ExpBlockC,C,
345,Shift40_bwd_ExpBlockC,C,
376,Shift40_bwd_ExpBlockC,C,
384,Shift0_fwd_ExpBlockC,C,
176,Shift0_fwd_ExpBlockC,C,
375,Shift0_fwd_ExpBlockC,C,
329,Shift0_fwd_ExpBlockC,C,
181,Shift0_fwd_ExpBlockC,C,
388,Shift0_fwd_ExpBlockC,C,
154,Shift10_bwd_ExpBlockA,A,
327,Shift10_bwd_ExpBlockA,A,
349,Shift10_bwd_ExpBlockA,A,
326,Shift10_bwd_ExpBlockA,A,
246,Shift10_bwd_ExpBlockA,A,
229,Shift10_bwd_ExpBlockA,A,
282,Shift10_bwd_ExpBlockA,A,
286,Shift10_bwd_ExpBlockA,A,
307,Shift0_fwd_ExpBlockA,A,
336,Shift0_fwd_ExpBlockA,A,
356,Shift0_fwd_ExpBlockA,A,
256,Shift0_fwd_ExpBlockA,A,
211,Shift0_fwd_ExpBlockA,A,
304,Shift0_bwd_ExpBlockC,C,
233,Shift0_bwd_ExpBlockC,C,
260,Shift0_bwd_ExpBlockC,C,
357,Shift0_bwd_ExpBlockC,C,
346,Shift0_bwd_ExpBlockC,C,
169,Shift0_bwd_ExpBlockC,C,
167,Shift10_fwd_ExpBlockC,C,
238,Shift10_fwd_ExpBlockC,C,
203,Shift10_fwd_ExpBlockC,C,
281,Shift10_fwd_ExpBlockC,C,
180,Shift10_fwd_ExpBlockC,C,
335,Shift0_bwd_ExpBlockB,B,
227,Shift0_bwd_ExpBlockB,B,
295,Shift0_bwd_ExpBlockB,B,
348,Shift0_bwd_ExpBlockB,B,
201,Shift0_bwd_ExpBlockB,B,
155,Shift0_bwd_ExpBlockB,B,
187,Shift0_bwd_ExpBlockA,A,
251,Shift0_bwd_ExpBlockA,A,
259,Shift0_bwd_ExpBlockA,A,
339,Shift0_bwd_ExpBlockA,A,
177,Shift0_bwd_ExpBlockA,A,
354,Shift0_bwd_ExpBlockA,A,
317,Shift10_bwd_ExpBlockC,C,
334,Shift10_bwd_ExpBlockC,C,
392,Shift10_bwd_ExpBlockC,C,
164,Shift10_bwd_ExpBlockC,C,
175,Shift10_bwd_ExpBlockC,C,
156,Shift0_fwd_ExpBlockB,B,
347,Shift0_fwd_ExpBlockB,B,
245,Shift0_fwd_ExpBlockB,B,
160,Shift0_fwd_ExpBlockB,B,
179,Shift0_fwd_ExpBlockB,B,
205,Shift40_fwd_ExpBlockC,C,
395,Shift40_fwd_ExpBlockC,C,
243,Shift40_fwd_ExpBlockC,C,
390,Shift40_fwd_ExpBlockC,C,
373,Shift40_fwd_ExpBlockC,C,
296,Shift10_fwd_ExpBlockB,B,
232,Shift10_fwd_ExpBlockB,B,
393,Shift10_fwd_ExpBlockB,B,
189,Shift10_fwd_ExpBlockB,B,
338,Shift10_fwd_ExpBlockB,B,
