workerid,proliferate.condition,rsrb.ethnicity,error
273,Shift40_bwd_ExpBlockB,NonHisp,
363,Shift40_bwd_ExpBlockB,NonHisp,
303,Shift40_bwd_ExpBlockB,NonHisp,
374,Shift40_bwd_ExpBlockB,Hisp,
206,Shift40_bwd_ExpBlockB,NonHisp,
297,Shift40_fwd_ExpBlockB,NonHisp,
241,Shift40_fwd_ExpBlockB,NonHisp,
185,Shift40_fwd_ExpBlockB,NonHisp,
389,Shift40_fwd_ExpBlockB,NonHisp,
196,Shift40_fwd_ExpBlockB,NonHisp,
279,Shift40_fwd_ExpBlockB,NonHisp,
261,Shift10_bwd_ExpBlockB,NonHisp,
271,Shift10_bwd_ExpBlockB,NonHisp,
289,Shift10_bwd_ExpBlockB,Hisp,
331,Shift10_bwd_ExpBlockB,NonHisp,
361,Shift10_bwd_ExpBlockB,NonHisp,
195,Shift10_bwd_ExpBlockB,NonHisp,
315,Shift10_bwd_ExpBlockB,NonHisp,
165,Shift10_fwd_ExpBlockA,NonHisp,
254,Shift10_fwd_ExpBlockA,NonHisp,
330,Shift10_fwd_ExpBlockA,NA,
306,Shift10_fwd_ExpBlockA,NonHisp,
231,Shift10_fwd_ExpBlockA,NonHisp,
319,Shift10_fwd_ExpBlockA,NonHisp,
353,Shift10_fwd_ExpBlockA,NonHisp,
270,Shift10_fwd_ExpBlockA,NonHisp,
193,Shift40_fwd_ExpBlockA,NA,
340,Shift40_fwd_ExpBlockA,NonHisp,
209,Shift40_fwd_ExpBlockA,NonHisp,
228,Shift40_fwd_ExpBlockA,NonHisp,
313,Shift40_fwd_ExpBlockA,NonHisp,
204,Shift40_bwd_ExpBlockA,NonHisp,
277,Shift40_bwd_ExpBlockA,NonHisp,
269,Shift40_bwd_ExpBlockA,NonHisp,
220,Shift40_bwd_ExpBlockA,NonHisp,
321,Shift40_bwd_ExpBlockA,NonHisp,
174,Shift40_bwd_ExpBlockC,NonHisp,
262,Shift40_bwd_ExpBlockC,Hisp,
372,Shift40_bwd_ExpBlockC,NonHisp,
359,Shift40_bwd_ExpBlockC,NonHisp,
345,Shift40_bwd_ExpBlockC,NonHisp,
376,Shift40_bwd_ExpBlockC,NonHisp,
384,Shift0_fwd_ExpBlockC,NonHisp,
176,Shift0_fwd_ExpBlockC,NonHisp,
375,Shift0_fwd_ExpBlockC,NonHisp,
329,Shift0_fwd_ExpBlockC,NonHisp,
181,Shift0_fwd_ExpBlockC,Hisp,
388,Shift0_fwd_ExpBlockC,NonHisp,
154,Shift10_bwd_ExpBlockA,NonHisp,
327,Shift10_bwd_ExpBlockA,NonHisp,
349,Shift10_bwd_ExpBlockA,NonHisp,
326,Shift10_bwd_ExpBlockA,NonHisp,
246,Shift10_bwd_ExpBlockA,NonHisp,
229,Shift10_bwd_ExpBlockA,NonHisp,
282,Shift10_bwd_ExpBlockA,NonHisp,
286,Shift10_bwd_ExpBlockA,Hisp,
307,Shift0_fwd_ExpBlockA,NonHisp,
336,Shift0_fwd_ExpBlockA,NonHisp,
356,Shift0_fwd_ExpBlockA,NonHisp,
256,Shift0_fwd_ExpBlockA,NonHisp,
211,Shift0_fwd_ExpBlockA,NonHisp,
304,Shift0_bwd_ExpBlockC,NonHisp,
233,Shift0_bwd_ExpBlockC,NonHisp,
260,Shift0_bwd_ExpBlockC,NonHisp,
357,Shift0_bwd_ExpBlockC,NonHisp,
346,Shift0_bwd_ExpBlockC,NonHisp,
169,Shift0_bwd_ExpBlockC,NonHisp,
167,Shift10_fwd_ExpBlockC,NonHisp,
238,Shift10_fwd_ExpBlockC,NonHisp,
203,Shift10_fwd_ExpBlockC,NonHisp,
281,Shift10_fwd_ExpBlockC,NonHisp,
180,Shift10_fwd_ExpBlockC,NonHisp,
335,Shift0_bwd_ExpBlockB,NonHisp,
227,Shift0_bwd_ExpBlockB,NonHisp,
295,Shift0_bwd_ExpBlockB,NonHisp,
348,Shift0_bwd_ExpBlockB,NonHisp,
201,Shift0_bwd_ExpBlockB,NonHisp,
155,Shift0_bwd_ExpBlockB,NonHisp,
187,Shift0_bwd_ExpBlockA,NonHisp,
251,Shift0_bwd_ExpBlockA,NonHisp,
259,Shift0_bwd_ExpBlockA,NonHisp,
339,Shift0_bwd_ExpBlockA,NonHisp,
177,Shift0_bwd_ExpBlockA,NonHisp,
354,Shift0_bwd_ExpBlockA,NonHisp,
317,Shift10_bwd_ExpBlockC,NonHisp,
334,Shift10_bwd_ExpBlockC,NonHisp,
392,Shift10_bwd_ExpBlockC,NonHisp,
164,Shift10_bwd_ExpBlockC,NonHisp,
175,Shift10_bwd_ExpBlockC,NonHisp,
156,Shift0_fwd_ExpBlockB,NA,
347,Shift0_fwd_ExpBlockB,NonHisp,
245,Shift0_fwd_ExpBlockB,NonHisp,
160,Shift0_fwd_ExpBlockB,NonHisp,
179,Shift0_fwd_ExpBlockB,NonHisp,
205,Shift40_fwd_ExpBlockC,NonHisp,
395,Shift40_fwd_ExpBlockC,NonHisp,
243,Shift40_fwd_ExpBlockC,NonHisp,
390,Shift40_fwd_ExpBlockC,NonHisp,
373,Shift40_fwd_ExpBlockC,NonHisp,
296,Shift10_fwd_ExpBlockB,NonHisp,
232,Shift10_fwd_ExpBlockB,NonHisp,
393,Shift10_fwd_ExpBlockB,NonHisp,
189,Shift10_fwd_ExpBlockB,NonHisp,
338,Shift10_fwd_ExpBlockB,NonHisp,
