workerid,proliferate.condition,rsrb.protocol,error
273,Shift40_bwd_ExpBlockB,,
363,Shift40_bwd_ExpBlockB,,
303,Shift40_bwd_ExpBlockB,,
374,Shift40_bwd_ExpBlockB,,
206,Shift40_bwd_ExpBlockB,,
297,Shift40_fwd_ExpBlockB,,
241,Shift40_fwd_ExpBlockB,,
185,Shift40_fwd_ExpBlockB,,
389,Shift40_fwd_ExpBlockB,,
196,Shift40_fwd_ExpBlockB,,
279,Shift40_fwd_ExpBlockB,,
261,Shift10_bwd_ExpBlockB,,
271,Shift10_bwd_ExpBlockB,,
289,Shift10_bwd_ExpBlockB,,
331,Shift10_bwd_ExpBlockB,,
361,Shift10_bwd_ExpBlockB,,
195,Shift10_bwd_ExpBlockB,,
315,Shift10_bwd_ExpBlockB,,
165,Shift10_fwd_ExpBlockA,,
254,Shift10_fwd_ExpBlockA,,
330,Shift10_fwd_ExpBlockA,,
306,Shift10_fwd_ExpBlockA,,
231,Shift10_fwd_ExpBlockA,,
319,Shift10_fwd_ExpBlockA,,
353,Shift10_fwd_ExpBlockA,,
270,Shift10_fwd_ExpBlockA,,
193,Shift40_fwd_ExpBlockA,,
340,Shift40_fwd_ExpBlockA,,
209,Shift40_fwd_ExpBlockA,,
228,Shift40_fwd_ExpBlockA,,
313,Shift40_fwd_ExpBlockA,,
204,Shift40_bwd_ExpBlockA,,
277,Shift40_bwd_ExpBlockA,,
269,Shift40_bwd_ExpBlockA,,
220,Shift40_bwd_ExpBlockA,,
321,Shift40_bwd_ExpBlockA,,
174,Shift40_bwd_ExpBlockC,,
262,Shift40_bwd_ExpBlockC,,
372,Shift40_bwd_ExpBlockC,,
359,Shift40_bwd_ExpBlockC,,
345,Shift40_bwd_ExpBlockC,,
376,Shift40_bwd_ExpBlockC,,
384,Shift0_fwd_ExpBlockC,,
176,Shift0_fwd_ExpBlockC,,
375,Shift0_fwd_ExpBlockC,,
329,Shift0_fwd_ExpBlockC,,
181,Shift0_fwd_ExpBlockC,,
388,Shift0_fwd_ExpBlockC,,
154,Shift10_bwd_ExpBlockA,,
327,Shift10_bwd_ExpBlockA,,
349,Shift10_bwd_ExpBlockA,,
326,Shift10_bwd_ExpBlockA,,
246,Shift10_bwd_ExpBlockA,,
229,Shift10_bwd_ExpBlockA,,
282,Shift10_bwd_ExpBlockA,,
286,Shift10_bwd_ExpBlockA,,
307,Shift0_fwd_ExpBlockA,,
336,Shift0_fwd_ExpBlockA,,
356,Shift0_fwd_ExpBlockA,,
256,Shift0_fwd_ExpBlockA,,
211,Shift0_fwd_ExpBlockA,,
304,Shift0_bwd_ExpBlockC,,
233,Shift0_bwd_ExpBlockC,,
260,Shift0_bwd_ExpBlockC,,
357,Shift0_bwd_ExpBlockC,,
346,Shift0_bwd_ExpBlockC,,
169,Shift0_bwd_ExpBlockC,,
167,Shift10_fwd_ExpBlockC,,
238,Shift10_fwd_ExpBlockC,,
203,Shift10_fwd_ExpBlockC,,
281,Shift10_fwd_ExpBlockC,,
180,Shift10_fwd_ExpBlockC,,
335,Shift0_bwd_ExpBlockB,,
227,Shift0_bwd_ExpBlockB,,
295,Shift0_bwd_ExpBlockB,,
348,Shift0_bwd_ExpBlockB,,
201,Shift0_bwd_ExpBlockB,,
155,Shift0_bwd_ExpBlockB,,
187,Shift0_bwd_ExpBlockA,,
251,Shift0_bwd_ExpBlockA,,
259,Shift0_bwd_ExpBlockA,,
339,Shift0_bwd_ExpBlockA,,
177,Shift0_bwd_ExpBlockA,,
354,Shift0_bwd_ExpBlockA,,
317,Shift10_bwd_ExpBlockC,,
334,Shift10_bwd_ExpBlockC,,
392,Shift10_bwd_ExpBlockC,,
164,Shift10_bwd_ExpBlockC,,
175,Shift10_bwd_ExpBlockC,,
156,Shift0_fwd_ExpBlockB,,
347,Shift0_fwd_ExpBlockB,,
245,Shift0_fwd_ExpBlockB,,
160,Shift0_fwd_ExpBlockB,,
179,Shift0_fwd_ExpBlockB,,
205,Shift40_fwd_ExpBlockC,,
395,Shift40_fwd_ExpBlockC,,
243,Shift40_fwd_ExpBlockC,,
390,Shift40_fwd_ExpBlockC,,
373,Shift40_fwd_ExpBlockC,,
296,Shift10_fwd_ExpBlockB,,
232,Shift10_fwd_ExpBlockB,,
393,Shift10_fwd_ExpBlockB,,
189,Shift10_fwd_ExpBlockB,,
338,Shift10_fwd_ExpBlockB,,
