workerid,proliferate.condition,rsrb.race,error
273,Shift40_bwd_ExpBlockB,white;,
363,Shift40_bwd_ExpBlockB,white;,
303,Shift40_bwd_ExpBlockB,white;,
374,Shift40_bwd_ExpBlockB,black;,
206,Shift40_bwd_ExpBlockB,white;,
297,Shift40_fwd_ExpBlockB,white;,
241,Shift40_fwd_ExpBlockB,white;,
185,Shift40_fwd_ExpBlockB,white;,
389,Shift40_fwd_ExpBlockB,white;,
196,Shift40_fwd_ExpBlockB,white;,
279,Shift40_fwd_ExpBlockB,black;,
261,Shift10_bwd_ExpBlockB,white;,
271,Shift10_bwd_ExpBlockB,white;,
289,Shift10_bwd_ExpBlockB,black;,
331,Shift10_bwd_ExpBlockB,white;,
361,Shift10_bwd_ExpBlockB,black;,
195,Shift10_bwd_ExpBlockB,white;,
315,Shift10_bwd_ExpBlockB,white;,
165,Shift10_fwd_ExpBlockA,white;,
254,Shift10_fwd_ExpBlockA,white;,
330,Shift10_fwd_ExpBlockA,,Field rsrb.race not present for participant!
