workerid,proliferate.condition,sex,error
273,Shift40_bwd_ExpBlockB,woman,
363,Shift40_bwd_ExpBlockB,woman,
303,Shift40_bwd_ExpBlockB,woman,
374,Shift40_bwd_ExpBlockB,woman,
206,Shift40_bwd_ExpBlockB,woman,
297,Shift40_fwd_ExpBlockB,woman,
241,Shift40_fwd_ExpBlockB,woman,
185,Shift40_fwd_ExpBlockB,woman,
389,Shift40_fwd_ExpBlockB,woman,
196,Shift40_fwd_ExpBlockB,woman,
279,Shift40_fwd_ExpBlockB,woman,
261,Shift10_bwd_ExpBlockB,woman,
271,Shift10_bwd_ExpBlockB,woman,
289,Shift10_bwd_ExpBlockB,woman,
331,Shift10_bwd_ExpBlockB,woman,
361,Shift10_bwd_ExpBlockB,woman,
195,Shift10_bwd_ExpBlockB,woman,
315,Shift10_bwd_ExpBlockB,woman,
165,Shift10_fwd_ExpBlockA,woman,
254,Shift10_fwd_ExpBlockA,woman,
330,Shift10_fwd_ExpBlockA,woman,
306,Shift10_fwd_ExpBlockA,woman,
231,Shift10_fwd_ExpBlockA,woman,
319,Shift10_fwd_ExpBlockA,woman,
353,Shift10_fwd_ExpBlockA,woman,
270,Shift10_fwd_ExpBlockA,woman,
193,Shift40_fwd_ExpBlockA,woman,
340,Shift40_fwd_ExpBlockA,woman,
209,Shift40_fwd_ExpBlockA,woman,
228,Shift40_fwd_ExpBlockA,woman,
313,Shift40_fwd_ExpBlockA,woman,
204,Shift40_bwd_ExpBlockA,woman,
277,Shift40_bwd_ExpBlockA,woman,
269,Shift40_bwd_ExpBlockA,woman,
220,Shift40_bwd_ExpBlockA,woman,
321,Shift40_bwd_ExpBlockA,woman,
174,Shift40_bwd_ExpBlockC,woman,
262,Shift40_bwd_ExpBlockC,woman,
372,Shift40_bwd_ExpBlockC,woman,
359,Shift40_bwd_ExpBlockC,woman,
345,Shift40_bwd_ExpBlockC,woman,
376,Shift40_bwd_ExpBlockC,woman,
384,Shift0_fwd_ExpBlockC,woman,
176,Shift0_fwd_ExpBlockC,woman,
375,Shift0_fwd_ExpBlockC,woman,
329,Shift0_fwd_ExpBlockC,woman,
181,Shift0_fwd_ExpBlockC,woman,
388,Shift0_fwd_ExpBlockC,woman,
154,Shift10_bwd_ExpBlockA,woman,
327,Shift10_bwd_ExpBlockA,woman,
349,Shift10_bwd_ExpBlockA,woman,
326,Shift10_bwd_ExpBlockA,woman,
246,Shift10_bwd_ExpBlockA,woman,
229,Shift10_bwd_ExpBlockA,woman,
282,Shift10_bwd_ExpBlockA,woman,
286,Shift10_bwd_ExpBlockA,woman,
307,Shift0_fwd_ExpBlockA,woman,
336,Shift0_fwd_ExpBlockA,woman,
356,Shift0_fwd_ExpBlockA,woman,
256,Shift0_fwd_ExpBlockA,woman,
211,Shift0_fwd_ExpBlockA,woman,
304,Shift0_bwd_ExpBlockC,woman,
233,Shift0_bwd_ExpBlockC,woman,
260,Shift0_bwd_ExpBlockC,woman,
357,Shift0_bwd_ExpBlockC,woman,
346,Shift0_bwd_ExpBlockC,woman,
169,Shift0_bwd_ExpBlockC,woman,
167,Shift10_fwd_ExpBlockC,woman,
238,Shift10_fwd_ExpBlockC,woman,
203,Shift10_fwd_ExpBlockC,woman,
281,Shift10_fwd_ExpBlockC,woman,
180,Shift10_fwd_ExpBlockC,woman,
335,Shift0_bwd_ExpBlockB,woman,
227,Shift0_bwd_ExpBlockB,woman,
295,Shift0_bwd_ExpBlockB,woman,
348,Shift0_bwd_ExpBlockB,woman,
201,Shift0_bwd_ExpBlockB,woman,
155,Shift0_bwd_ExpBlockB,woman,
187,Shift0_bwd_ExpBlockA,woman,
251,Shift0_bwd_ExpBlockA,woman,
259,Shift0_bwd_ExpBlockA,woman,
339,Shift0_bwd_ExpBlockA,woman,
177,Shift0_bwd_ExpBlockA,woman,
354,Shift0_bwd_ExpBlockA,woman,
317,Shift10_bwd_ExpBlockC,woman,
334,Shift10_bwd_ExpBlockC,woman,
392,Shift10_bwd_ExpBlockC,woman,
164,Shift10_bwd_ExpBlockC,woman,
175,Shift10_bwd_ExpBlockC,woman,
156,Shift0_fwd_ExpBlockB,woman,
347,Shift0_fwd_ExpBlockB,woman,
245,Shift0_fwd_ExpBlockB,woman,
160,Shift0_fwd_ExpBlockB,woman,
179,Shift0_fwd_ExpBlockB,woman,
205,Shift40_fwd_ExpBlockC,woman,
395,Shift40_fwd_ExpBlockC,woman,
243,Shift40_fwd_ExpBlockC,woman,
390,Shift40_fwd_ExpBlockC,woman,
373,Shift40_fwd_ExpBlockC,woman,
296,Shift10_fwd_ExpBlockB,woman,
232,Shift10_fwd_ExpBlockB,woman,
393,Shift10_fwd_ExpBlockB,woman,
189,Shift10_fwd_ExpBlockB,woman,
338,Shift10_fwd_ExpBlockB,woman,
