workerid,proliferate.condition,task_diff,error
273,Shift40_bwd_ExpBlockB,no-trouble,
363,Shift40_bwd_ExpBlockB,no-trouble,
303,Shift40_bwd_ExpBlockB,took-time,
374,Shift40_bwd_ExpBlockB,no-trouble,
206,Shift40_bwd_ExpBlockB,no-trouble,
297,Shift40_fwd_ExpBlockB,no-trouble,
241,Shift40_fwd_ExpBlockB,no-trouble,
185,Shift40_fwd_ExpBlockB,no-trouble,
389,Shift40_fwd_ExpBlockB,no-trouble,
196,Shift40_fwd_ExpBlockB,no-trouble,
279,Shift40_fwd_ExpBlockB,no-trouble,
261,Shift10_bwd_ExpBlockB,no-trouble,
271,Shift10_bwd_ExpBlockB,no-trouble,
289,Shift10_bwd_ExpBlockB,no-trouble,
331,Shift10_bwd_ExpBlockB,no-trouble,
361,Shift10_bwd_ExpBlockB,no-trouble,
195,Shift10_bwd_ExpBlockB,no-trouble,
315,Shift10_bwd_ExpBlockB,no-trouble,
165,Shift10_fwd_ExpBlockA,no-trouble,
254,Shift10_fwd_ExpBlockA,no-trouble,
330,Shift10_fwd_ExpBlockA,no-trouble,
306,Shift10_fwd_ExpBlockA,no-trouble,
231,Shift10_fwd_ExpBlockA,no-trouble,
319,Shift10_fwd_ExpBlockA,no-trouble,
353,Shift10_fwd_ExpBlockA,no-trouble,
270,Shift10_fwd_ExpBlockA,no-trouble,
193,Shift40_fwd_ExpBlockA,no-trouble,
340,Shift40_fwd_ExpBlockA,no-trouble,
209,Shift40_fwd_ExpBlockA,no-trouble,
228,Shift40_fwd_ExpBlockA,no-trouble,
313,Shift40_fwd_ExpBlockA,no-trouble,
204,Shift40_bwd_ExpBlockA,no-trouble,
277,Shift40_bwd_ExpBlockA,no-trouble,
269,Shift40_bwd_ExpBlockA,no-trouble,
220,Shift40_bwd_ExpBlockA,no-trouble,
321,Shift40_bwd_ExpBlockA,no-trouble,
174,Shift40_bwd_ExpBlockC,no-trouble,
262,Shift40_bwd_ExpBlockC,no-trouble,
372,Shift40_bwd_ExpBlockC,no-trouble,
359,Shift40_bwd_ExpBlockC,no-trouble,
345,Shift40_bwd_ExpBlockC,no-trouble,
376,Shift40_bwd_ExpBlockC,no-trouble,
384,Shift0_fwd_ExpBlockC,no-trouble,
176,Shift0_fwd_ExpBlockC,no-trouble,
375,Shift0_fwd_ExpBlockC,no-trouble,
329,Shift0_fwd_ExpBlockC,no-trouble,
181,Shift0_fwd_ExpBlockC,no-trouble,
388,Shift0_fwd_ExpBlockC,no-trouble,
154,Shift10_bwd_ExpBlockA,no-trouble,
327,Shift10_bwd_ExpBlockA,no-trouble,
349,Shift10_bwd_ExpBlockA,no-trouble,
326,Shift10_bwd_ExpBlockA,no-trouble,
246,Shift10_bwd_ExpBlockA,no-trouble,
229,Shift10_bwd_ExpBlockA,no-trouble,
282,Shift10_bwd_ExpBlockA,no-trouble,
286,Shift10_bwd_ExpBlockA,no-trouble,
307,Shift0_fwd_ExpBlockA,no-trouble,
336,Shift0_fwd_ExpBlockA,no-trouble,
356,Shift0_fwd_ExpBlockA,no-trouble,
256,Shift0_fwd_ExpBlockA,no-trouble,
211,Shift0_fwd_ExpBlockA,no-trouble,
304,Shift0_bwd_ExpBlockC,no-trouble,
233,Shift0_bwd_ExpBlockC,no-trouble,
260,Shift0_bwd_ExpBlockC,no-trouble,
357,Shift0_bwd_ExpBlockC,no-trouble,
346,Shift0_bwd_ExpBlockC,no-trouble,
169,Shift0_bwd_ExpBlockC,no-trouble,
167,Shift10_fwd_ExpBlockC,no-trouble,
238,Shift10_fwd_ExpBlockC,no-trouble,
203,Shift10_fwd_ExpBlockC,no-trouble,
281,Shift10_fwd_ExpBlockC,no-trouble,
180,Shift10_fwd_ExpBlockC,no-trouble,
335,Shift0_bwd_ExpBlockB,no-trouble,
227,Shift0_bwd_ExpBlockB,no-trouble,
295,Shift0_bwd_ExpBlockB,no-trouble,
348,Shift0_bwd_ExpBlockB,no-trouble,
201,Shift0_bwd_ExpBlockB,took-time,
155,Shift0_bwd_ExpBlockB,no-trouble,
187,Shift0_bwd_ExpBlockA,no-trouble,
251,Shift0_bwd_ExpBlockA,no-trouble,
259,Shift0_bwd_ExpBlockA,no-trouble,
339,Shift0_bwd_ExpBlockA,no-trouble,
177,Shift0_bwd_ExpBlockA,not-sure,
354,Shift0_bwd_ExpBlockA,no-trouble,
317,Shift10_bwd_ExpBlockC,no-trouble,
334,Shift10_bwd_ExpBlockC,no-trouble,
392,Shift10_bwd_ExpBlockC,no-trouble,
164,Shift10_bwd_ExpBlockC,no-trouble,
175,Shift10_bwd_ExpBlockC,no-trouble,
156,Shift0_fwd_ExpBlockB,no-trouble,
347,Shift0_fwd_ExpBlockB,took-time,
245,Shift0_fwd_ExpBlockB,no-trouble,
160,Shift0_fwd_ExpBlockB,not-sure,
179,Shift0_fwd_ExpBlockB,no-trouble,
205,Shift40_fwd_ExpBlockC,no-trouble,
395,Shift40_fwd_ExpBlockC,no-trouble,
243,Shift40_fwd_ExpBlockC,no-trouble,
390,Shift40_fwd_ExpBlockC,no-trouble,
373,Shift40_fwd_ExpBlockC,no-trouble,
296,Shift10_fwd_ExpBlockB,no-trouble,
232,Shift10_fwd_ExpBlockB,no-trouble,
393,Shift10_fwd_ExpBlockB,no-trouble,
189,Shift10_fwd_ExpBlockB,no-trouble,
338,Shift10_fwd_ExpBlockB,took-time,
