workerid,proliferate.condition,userDateTime,error
273,Shift40_bwd_ExpBlockB,"Sat, 21 May 2022 02:09:44 GMT",
363,Shift40_bwd_ExpBlockB,"Sat, 21 May 2022 02:08:39 GMT",
303,Shift40_bwd_ExpBlockB,"Sat, 21 May 2022 01:54:56 GMT",
374,Shift40_bwd_ExpBlockB,"Sat, 21 May 2022 02:26:59 GMT",
206,Shift40_bwd_ExpBlockB,"Sat, 21 May 2022 01:38:36 GMT",
297,Shift40_fwd_ExpBlockB,"Sat, 21 May 2022 02:11:46 GMT",
241,Shift40_fwd_ExpBlockB,"Sat, 21 May 2022 01:40:40 GMT",
185,Shift40_fwd_ExpBlockB,"Sat, 21 May 2022 01:18:26 GMT",
389,Shift40_fwd_ExpBlockB,"Sat, 21 May 2022 03:04:27 GMT",
196,Shift40_fwd_ExpBlockB,"Sat, 21 May 2022 01:28:28 GMT",
279,Shift40_fwd_ExpBlockB,"Sat, 21 May 2022 03:19:44 GMT",
261,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 02:01:00 GMT",
271,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 02:20:14 GMT",
289,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 01:55:58 GMT",
331,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 02:00:00 GMT",
361,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 02:26:03 GMT",
195,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 01:28:09 GMT",
315,Shift10_bwd_ExpBlockB,"Sat, 21 May 2022 02:18:50 GMT",
165,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 00:44:35 GMT",
254,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 01:45:07 GMT",
330,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 02:31:40 GMT",
306,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 01:56:32 GMT",
231,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 01:51:04 GMT",
319,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 02:00:10 GMT",
353,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 02:15:45 GMT",
270,Shift10_fwd_ExpBlockA,"Sat, 21 May 2022 01:52:07 GMT",
193,Shift40_fwd_ExpBlockA,"Sat, 21 May 2022 01:47:11 GMT",
340,Shift40_fwd_ExpBlockA,"Sat, 21 May 2022 02:04:52 GMT",
209,Shift40_fwd_ExpBlockA,"Sat, 21 May 2022 01:37:02 GMT",
228,Shift40_fwd_ExpBlockA,"Sat, 21 May 2022 01:40:47 GMT",
313,Shift40_fwd_ExpBlockA,"Sat, 21 May 2022 02:01:27 GMT",
204,Shift40_bwd_ExpBlockA,"Sat, 21 May 2022 01:33:07 GMT",
277,Shift40_bwd_ExpBlockA,"Sat, 21 May 2022 01:52:46 GMT",
269,Shift40_bwd_ExpBlockA,"Sat, 21 May 2022 01:44:45 GMT",
220,Shift40_bwd_ExpBlockA,"Sat, 21 May 2022 01:48:20 GMT",
321,Shift40_bwd_ExpBlockA,"Sat, 21 May 2022 01:57:31 GMT",
174,Shift40_bwd_ExpBlockC,"Sat, 21 May 2022 02:25:17 GMT",
262,Shift40_bwd_ExpBlockC,"Sat, 21 May 2022 01:51:34 GMT",
372,Shift40_bwd_ExpBlockC,"Sat, 21 May 2022 02:27:31 GMT",
359,Shift40_bwd_ExpBlockC,"Sat, 21 May 2022 02:28:05 GMT",
345,Shift40_bwd_ExpBlockC,"Sat, 21 May 2022 02:19:23 GMT",
376,Shift40_bwd_ExpBlockC,"Sat, 21 May 2022 02:34:26 GMT",
