workerid,proliferate.condition,userDateTimeOffset,error
273,Shift40_bwd_ExpBlockB,240,
363,Shift40_bwd_ExpBlockB,240,
303,Shift40_bwd_ExpBlockB,420,
374,Shift40_bwd_ExpBlockB,300,
206,Shift40_bwd_ExpBlockB,420,
297,Shift40_fwd_ExpBlockB,300,
241,Shift40_fwd_ExpBlockB,240,
185,Shift40_fwd_ExpBlockB,240,
389,Shift40_fwd_ExpBlockB,240,
196,Shift40_fwd_ExpBlockB,240,
279,Shift40_fwd_ExpBlockB,240,
261,Shift10_bwd_ExpBlockB,240,
271,Shift10_bwd_ExpBlockB,360,
289,Shift10_bwd_ExpBlockB,240,
331,Shift10_bwd_ExpBlockB,300,
361,Shift10_bwd_ExpBlockB,300,
195,Shift10_bwd_ExpBlockB,420,
315,Shift10_bwd_ExpBlockB,-480,
165,Shift10_fwd_ExpBlockA,300,
254,Shift10_fwd_ExpBlockA,240,
330,Shift10_fwd_ExpBlockA,420,
306,Shift10_fwd_ExpBlockA,240,
231,Shift10_fwd_ExpBlockA,420,
319,Shift10_fwd_ExpBlockA,240,
353,Shift10_fwd_ExpBlockA,240,
270,Shift10_fwd_ExpBlockA,240,
193,Shift40_fwd_ExpBlockA,240,
340,Shift40_fwd_ExpBlockA,240,
209,Shift40_fwd_ExpBlockA,420,
228,Shift40_fwd_ExpBlockA,240,
313,Shift40_fwd_ExpBlockA,240,
204,Shift40_bwd_ExpBlockA,240,
277,Shift40_bwd_ExpBlockA,240,
269,Shift40_bwd_ExpBlockA,300,
220,Shift40_bwd_ExpBlockA,300,
321,Shift40_bwd_ExpBlockA,240,
174,Shift40_bwd_ExpBlockC,240,
262,Shift40_bwd_ExpBlockC,420,
372,Shift40_bwd_ExpBlockC,420,
359,Shift40_bwd_ExpBlockC,240,
345,Shift40_bwd_ExpBlockC,240,
376,Shift40_bwd_ExpBlockC,420,
384,Shift0_fwd_ExpBlockC,420,
176,Shift0_fwd_ExpBlockC,240,
375,Shift0_fwd_ExpBlockC,240,
329,Shift0_fwd_ExpBlockC,240,
181,Shift0_fwd_ExpBlockC,240,
388,Shift0_fwd_ExpBlockC,240,
154,Shift10_bwd_ExpBlockA,300,
327,Shift10_bwd_ExpBlockA,240,
349,Shift10_bwd_ExpBlockA,240,
326,Shift10_bwd_ExpBlockA,240,
246,Shift10_bwd_ExpBlockA,300,
229,Shift10_bwd_ExpBlockA,420,
282,Shift10_bwd_ExpBlockA,420,
286,Shift10_bwd_ExpBlockA,420,
307,Shift0_fwd_ExpBlockA,240,
336,Shift0_fwd_ExpBlockA,300,
356,Shift0_fwd_ExpBlockA,300,
256,Shift0_fwd_ExpBlockA,240,
211,Shift0_fwd_ExpBlockA,420,
304,Shift0_bwd_ExpBlockC,240,
233,Shift0_bwd_ExpBlockC,240,
260,Shift0_bwd_ExpBlockC,300,
357,Shift0_bwd_ExpBlockC,240,
346,Shift0_bwd_ExpBlockC,240,
169,Shift0_bwd_ExpBlockC,240,
167,Shift10_fwd_ExpBlockC,240,
238,Shift10_fwd_ExpBlockC,300,
203,Shift10_fwd_ExpBlockC,300,
281,Shift10_fwd_ExpBlockC,240,
180,Shift10_fwd_ExpBlockC,300,
335,Shift0_bwd_ExpBlockB,240,
227,Shift0_bwd_ExpBlockB,420,
295,Shift0_bwd_ExpBlockB,240,
348,Shift0_bwd_ExpBlockB,300,
201,Shift0_bwd_ExpBlockB,240,
155,Shift0_bwd_ExpBlockB,420,
187,Shift0_bwd_ExpBlockA,420,
251,Shift0_bwd_ExpBlockA,300,
259,Shift0_bwd_ExpBlockA,360,
339,Shift0_bwd_ExpBlockA,240,
177,Shift0_bwd_ExpBlockA,300,
354,Shift0_bwd_ExpBlockA,420,
317,Shift10_bwd_ExpBlockC,300,
334,Shift10_bwd_ExpBlockC,240,
392,Shift10_bwd_ExpBlockC,240,
164,Shift10_bwd_ExpBlockC,240,
175,Shift10_bwd_ExpBlockC,240,
156,Shift0_fwd_ExpBlockB,240,
347,Shift0_fwd_ExpBlockB,300,
245,Shift0_fwd_ExpBlockB,360,
160,Shift0_fwd_ExpBlockB,300,
179,Shift0_fwd_ExpBlockB,300,
205,Shift40_fwd_ExpBlockC,240,
395,Shift40_fwd_ExpBlockC,300,
243,Shift40_fwd_ExpBlockC,240,
390,Shift40_fwd_ExpBlockC,420,
373,Shift40_fwd_ExpBlockC,240,
296,Shift10_fwd_ExpBlockB,300,
232,Shift10_fwd_ExpBlockB,240,
393,Shift10_fwd_ExpBlockB,240,
189,Shift10_fwd_ExpBlockB,240,
338,Shift10_fwd_ExpBlockB,240,
