workerid,proliferate.condition,words,error
273,Shift40_bwd_ExpBlockB,equally-similar,
363,Shift40_bwd_ExpBlockB,more-similar,
303,Shift40_bwd_ExpBlockB,equally-similar,
374,Shift40_bwd_ExpBlockB,more-similar,
206,Shift40_bwd_ExpBlockB,more-similar,
297,Shift40_fwd_ExpBlockB,equally-similar,
241,Shift40_fwd_ExpBlockB,equally-similar,
185,Shift40_fwd_ExpBlockB,more-similar,
389,Shift40_fwd_ExpBlockB,equally-similar,
196,Shift40_fwd_ExpBlockB,less-similar,
279,Shift40_fwd_ExpBlockB,equally-similar,
261,Shift10_bwd_ExpBlockB,more-similar,
271,Shift10_bwd_ExpBlockB,more-similar,
289,Shift10_bwd_ExpBlockB,equally-similar,
331,Shift10_bwd_ExpBlockB,equally-similar,
361,Shift10_bwd_ExpBlockB,more-similar,
195,Shift10_bwd_ExpBlockB,equally-similar,
315,Shift10_bwd_ExpBlockB,more-similar,
165,Shift10_fwd_ExpBlockA,equally-similar,
254,Shift10_fwd_ExpBlockA,more-similar,
330,Shift10_fwd_ExpBlockA,equally-similar,
306,Shift10_fwd_ExpBlockA,equally-similar,
231,Shift10_fwd_ExpBlockA,more-similar,
319,Shift10_fwd_ExpBlockA,equally-similar,
353,Shift10_fwd_ExpBlockA,more-similar,
270,Shift10_fwd_ExpBlockA,equally-similar,
193,Shift40_fwd_ExpBlockA,equally-similar,
340,Shift40_fwd_ExpBlockA,equally-similar,
209,Shift40_fwd_ExpBlockA,more-similar,
228,Shift40_fwd_ExpBlockA,more-similar,
313,Shift40_fwd_ExpBlockA,equally-similar,
204,Shift40_bwd_ExpBlockA,equally-similar,
277,Shift40_bwd_ExpBlockA,more-similar,
269,Shift40_bwd_ExpBlockA,more-similar,
220,Shift40_bwd_ExpBlockA,equally-similar,
321,Shift40_bwd_ExpBlockA,more-similar,
174,Shift40_bwd_ExpBlockC,equally-similar,
262,Shift40_bwd_ExpBlockC,equally-similar,
372,Shift40_bwd_ExpBlockC,equally-similar,
359,Shift40_bwd_ExpBlockC,equally-similar,
345,Shift40_bwd_ExpBlockC,equally-similar,
376,Shift40_bwd_ExpBlockC,equally-similar,
384,Shift0_fwd_ExpBlockC,equally-similar,
176,Shift0_fwd_ExpBlockC,equally-similar,
375,Shift0_fwd_ExpBlockC,more-similar,
329,Shift0_fwd_ExpBlockC,more-similar,
181,Shift0_fwd_ExpBlockC,equally-similar,
388,Shift0_fwd_ExpBlockC,more-similar,
154,Shift10_bwd_ExpBlockA,equally-similar,
327,Shift10_bwd_ExpBlockA,more-similar,
349,Shift10_bwd_ExpBlockA,more-similar,
326,Shift10_bwd_ExpBlockA,equally-similar,
246,Shift10_bwd_ExpBlockA,equally-similar,
229,Shift10_bwd_ExpBlockA,more-similar,
282,Shift10_bwd_ExpBlockA,more-similar,
286,Shift10_bwd_ExpBlockA,more-similar,
307,Shift0_fwd_ExpBlockA,equally-similar,
336,Shift0_fwd_ExpBlockA,more-similar,
356,Shift0_fwd_ExpBlockA,more-similar,
256,Shift0_fwd_ExpBlockA,less-similar,
211,Shift0_fwd_ExpBlockA,less-similar,
304,Shift0_bwd_ExpBlockC,more-similar,
233,Shift0_bwd_ExpBlockC,more-similar,
260,Shift0_bwd_ExpBlockC,less-similar,
357,Shift0_bwd_ExpBlockC,equally-similar,
346,Shift0_bwd_ExpBlockC,more-similar,
169,Shift0_bwd_ExpBlockC,more-similar,
167,Shift10_fwd_ExpBlockC,equally-similar,
238,Shift10_fwd_ExpBlockC,more-similar,
203,Shift10_fwd_ExpBlockC,equally-similar,
281,Shift10_fwd_ExpBlockC,equally-similar,
180,Shift10_fwd_ExpBlockC,less-similar,
335,Shift0_bwd_ExpBlockB,more-similar,
227,Shift0_bwd_ExpBlockB,equally-similar,
295,Shift0_bwd_ExpBlockB,more-similar,
348,Shift0_bwd_ExpBlockB,more-similar,
201,Shift0_bwd_ExpBlockB,equally-similar,
155,Shift0_bwd_ExpBlockB,more-similar,
187,Shift0_bwd_ExpBlockA,less-similar,
251,Shift0_bwd_ExpBlockA,equally-similar,
259,Shift0_bwd_ExpBlockA,more-similar,
339,Shift0_bwd_ExpBlockA,less-similar,
177,Shift0_bwd_ExpBlockA,equally-similar,
354,Shift0_bwd_ExpBlockA,equally-similar,
317,Shift10_bwd_ExpBlockC,more-similar,
334,Shift10_bwd_ExpBlockC,more-similar,
392,Shift10_bwd_ExpBlockC,more-similar,
164,Shift10_bwd_ExpBlockC,more-similar,
175,Shift10_bwd_ExpBlockC,equally-similar,
156,Shift0_fwd_ExpBlockB,more-similar,
347,Shift0_fwd_ExpBlockB,more-similar,
245,Shift0_fwd_ExpBlockB,more-similar,
160,Shift0_fwd_ExpBlockB,more-similar,
179,Shift0_fwd_ExpBlockB,more-similar,
205,Shift40_fwd_ExpBlockC,equally-similar,
395,Shift40_fwd_ExpBlockC,more-similar,
243,Shift40_fwd_ExpBlockC,more-similar,
390,Shift40_fwd_ExpBlockC,more-similar,
373,Shift40_fwd_ExpBlockC,equally-similar,
296,Shift10_fwd_ExpBlockB,equally-similar,
232,Shift10_fwd_ExpBlockB,more-similar,
393,Shift10_fwd_ExpBlockB,more-similar,
189,Shift10_fwd_ExpBlockB,equally-similar,
338,Shift10_fwd_ExpBlockB,equally-similar,
