workerid,proliferate.condition,words_comment,error
273,Shift40_bwd_ExpBlockB,"No, not really.",
363,Shift40_bwd_ExpBlockB,"It felt like at times she was trying to slur the words, at least it was very hard to tell some of them from the other. But that could have been because of her accent.",
303,Shift40_bwd_ExpBlockB,,
374,Shift40_bwd_ExpBlockB,She made sure to say both types of words like till and dill very similar.,
206,Shift40_bwd_ExpBlockB,"I feel like she tried putting too much emphasis on the t and d sometimes and it made them sound similar to eachother. Sometimes they very clearly said till or dill, others it sounded like tdill/dtill. When they were more relaxed it was clear. ",
297,Shift40_fwd_ExpBlockB,"It was sometimes difficult to decide if the speaker said ""t"" or ""d"", sometimes if was more obvious.. ",
241,Shift40_fwd_ExpBlockB,"Sometimes with the words dip and tip, and dill and till, it was hard to make out whether she was pronouncing it with a T or D. Sometimes I felt like it could have been either word.",
185,Shift40_fwd_ExpBlockB,It was sometimes very difficult to tell the difference between two similar words ,
389,Shift40_fwd_ExpBlockB,"Most words sounded like they were pronounced mostly correctly, but I can see how some listeners can misinterpret.",
196,Shift40_fwd_ExpBlockB,"There was a vague accent and in some instances, the t/d phoneme seemed slurred to be a combination of both",
279,Shift40_fwd_ExpBlockB,There was nothing unusual that stook out to me about how the speaker pronounced the words.,
261,Shift10_bwd_ExpBlockB,some letter sounds had more emphasis ,
271,Shift10_bwd_ExpBlockB,"No, I didn't notice anything in particular.",
289,Shift10_bwd_ExpBlockB,very sternly,
331,Shift10_bwd_ExpBlockB,words with a D were quicker where as words beginning with a T were slower,
361,Shift10_bwd_ExpBlockB,I felt like it was common that some of the d's would more often sound like t's than the other way around. ,
195,Shift10_bwd_ExpBlockB,"No, I don't think so. I think the most similar sounding consonants are t and d, or at least the way she was pronouncing them. I think I got the majority correct.",
315,Shift10_bwd_ExpBlockB,no,
165,Shift10_fwd_ExpBlockA,I felt that the words dill and till were the most difficult to differentiate between the two when they were the two choices. I think share/flare/rare were quite easy to tell the difference between.  ,
254,Shift10_fwd_ExpBlockA,some words were easier to determine than others. it was sometimes hard to differentiate between a t and a d sound.,
330,Shift10_fwd_ExpBlockA,"When the speaker pronounces her T's, the speaker first lets out a small burst of pressured air by clamping her tongue and teeth together and leaving a small opening when she exhales. ",
306,Shift10_fwd_ExpBlockA,"Occasionally, it sounded like she said din when my choices were tin or till",
231,Shift10_fwd_ExpBlockA,"Sometimes hers d's and t's sounded distinct, but sometimes they sounded like a dt blend.",
319,Shift10_fwd_ExpBlockA,,
353,Shift10_fwd_ExpBlockA,"The speaker didn't seem to pronounce the ""t"" and I noticed that the ""d"" was pronounced in some words only.  It did sound a bit synthesized.",
270,Shift10_fwd_ExpBlockA,I didn't notice anything odd.,
193,Shift40_fwd_ExpBlockA,not really,
340,Shift40_fwd_ExpBlockA,"They barely say the ""D"" noise when words start with them but they very strongly accentuate the ""T"" noise.",
209,Shift40_fwd_ExpBlockA,"Sometimes it was very ambiguous with dill, till, dip and tip.",
228,Shift40_fwd_ExpBlockA,"Occasionally the ""t"" seemed to be swallowed or pronounced with less forward motion of the tongue.",
313,Shift40_fwd_ExpBlockA, very precise in pronunciation,
204,Shift40_bwd_ExpBlockA,"some times the beginning d & t sounded the same, but the ending letters were always clear.",
277,Shift40_bwd_ExpBlockA,seemed like the d was weak sometimes. I had trouble telling if it was a weak d or a low volume t.,
269,Shift40_bwd_ExpBlockA,,
220,Shift40_bwd_ExpBlockA,I think she put a bit more emphasis on each begining and ending. ,
321,Shift40_bwd_ExpBlockA,,
174,Shift40_bwd_ExpBlockC,No,
262,Shift40_bwd_ExpBlockC,"The initial consonant was not always pronounced the same.  It may have played ""dill"" several times in a row but each ""dill"" did not sound identical.",
372,Shift40_bwd_ExpBlockC,"Sometimes the t and d sounded similar, sharper d instead of soft. The speaker put emphasis on different parts of the word.",
359,Shift40_bwd_ExpBlockC,"I could usually tell which word was being spoken, but sometimes it sounded like a blend of the two words was being spoken. I feel like it was typical American pronunciation which made this easier for me. ",
345,Shift40_bwd_ExpBlockC,Nothing in particular. It sounded like standard English to me.,
376,Shift40_bwd_ExpBlockC,I didn't notice anything in particular.,
