session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
62881bdbafae53994d32219c,612c02e62fe8cb2a900cf581,RETURNED,2022-05-20 22:53:25.018000,,229777.239424,21,182,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882126a457bba482f1e9a4,5dcf1fd0710dfc073a370a19,RETURNED,2022-05-20 23:15:56.370000,,228425.899149,53,866,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288218ff1b3da7001015c36,609a9671bca2ca82ca2b14ed,RETURNED,2022-05-20 23:22:40.690000,,228021.590721,34,166,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288241c2e19ab1c8cb505fd,5920b1f62b529b00013f3214,APPROVED,2022-05-20 23:28:28.048000,2022-05-20 23:58:23.294000,1795.246,58,1251,0,100,2022-05-23 08:59:45.285000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,No
628825e4ec82cca92e96079a,5739549114f69e00067becd8,APPROVED,2022-05-20 23:36:08.377000,2022-05-21 00:05:51.524000,1783.147,,1277,1,100,2022-05-23 08:59:45.400000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Male,No
628826a4a776e376dd7623d2,5f0d2ad60ad0d6730c380b05,APPROVED,2022-05-20 23:39:16.783000,2022-05-21 01:06:59.783000,5263.0,49,1357,4,100,2022-05-23 08:59:45.499000,81A407F4,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,United States,Male,DATA EXPIRED
6288280bdff120ab8c154ad5,6110bb781edb1277d4bd622e,RETURNED,2022-05-20 23:45:19.443000,,226662.898297,19,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882bc8ddca8d3422eb21a1,614e80be97b75ce79b26267b,RETURNED,2022-05-21 00:01:16.272000,,225706.083451,34,239,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882dbaaa2c56fdfa597baa,620bde4fa922fc3f247f6e43,APPROVED,2022-05-21 00:09:38.769000,2022-05-21 01:02:13.651000,3154.882,54,464,1,100,2022-05-23 08:59:45.610000,81A407F4,United States,United States,Part-Time,I only know English,English,United States,Female,No
62882edb0a75729730adcf18,5fe7830f60d5fb11b5e2893e,APPROVED,2022-05-21 00:14:22.319000,2022-05-21 00:44:02.047000,1779.728,34,500,0,100,2022-05-23 08:59:45.722000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Female,DATA EXPIRED
62882f21a132ec83d97cd762,57dd7528a0e8ce00015445fd,RETURNED,2022-05-21 00:16:09.919000,,224812.470726,31,2657,6,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62882f4fb3c3dbd013f42a13,5ce973ea6c890100012ea2ae,APPROVED,2022-05-21 00:17:33.371000,2022-05-21 00:44:41.643000,1628.272,35,366,0,100,2022-05-23 08:59:45.844000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,No
